Episode,Reward,Steps,Progress,AvgDist,MaxDist,Within5m%,AvgSpeed,R_Follow,R_Heading,R_Smooth,EndReason,TotalSteps
278,614.37,1025,0.8340,24.54,57.76,28.3,2.74,425.08,181.86,-22.5677,,844136
279,129.26,443,0.8360,21.61,39.38,6.3,4.20,49.94,84.52,-10.2037,,845908
280,408.55,1746,0.8400,95.13,218.00,1.3,14.09,41.35,396.97,-39.7659,,852892
281,65.94,236,0.8400,157.82,215.68,0.0,19.61,0.00,68.27,-2.3324,,853836
282,165.39,751,0.8400,137.80,235.01,0.0,18.64,0.00,171.18,-5.7928,,856840
283,56.43,259,0.8400,100.88,185.68,0.0,18.76,0.00,58.65,-2.2184,,857876
284,105.55,569,0.8400,159.29,257.98,0.0,17.12,0.00,126.45,-20.9014,truncated,860152
285,1032.73,197,0.2440,1.75,4.06,100.0,18.84,339.90,90.17,-2.3356,,860940
286,1592.04,344,0.5940,2.04,4.93,100.0,19.13,562.56,158.08,-3.6022,,862316
287,2173.74,489,1.0000,2.46,5.63,96.7,19.35,740.57,223.80,-5.6306,completed,864272
288,2681.09,561,0.6020,1.95,4.45,100.0,18.89,934.51,255.48,-8.8937,,866516
289,1613.04,405,0.9340,2.58,6.07,92.1,19.52,600.07,187.02,-4.0482,,868136
290,516.82,76,1.0000,2.38,5.03,98.7,18.91,117.47,35.43,-1.0837,completed,868440
291,1846.32,347,0.4380,1.73,4.15,100.0,18.76,601.63,158.30,-3.6152,,869828
292,1783.21,4122,0.6340,164.80,346.08,9.5,9.48,628.65,1189.26,-524.6988,,886316
293,133.23,1051,0.6340,191.98,368.89,0.0,7.42,0.00,282.69,-149.4674,,890520
294,21.60,78,0.6340,293.70,298.68,0.0,2.31,0.00,27.01,-5.4121,,890832
295,131.03,402,0.6340,283.33,289.14,0.0,0.49,0.00,137.90,-6.8665,truncated,892440
296,1664.04,347,0.3780,2.03,5.50,98.8,18.95,568.43,159.34,-3.7230,,893828
297,1178.06,419,0.5720,3.50,8.72,77.1,15.36,518.47,192.72,-18.1302,,895504
298,2374.86,611,1.0000,2.97,8.53,83.8,17.61,840.44,281.75,-17.3177,completed,897948
299,1266.76,252,0.2920,1.82,4.74,100.0,19.20,428.50,115.62,-2.3646,,898956
300,3592.71,841,1.0000,2.57,7.97,89.9,19.05,1249.47,385.91,-12.6784,completed,902320
301,315.34,103,0.0600,3.50,8.01,74.8,18.24,125.63,48.38,-3.6726,,902732
302,385.86,1050,0.0680,527.42,840.29,11.0,9.48,174.23,212.45,-20.8196,,906932
303,369.09,1055,0.0680,814.01,828.09,0.0,0.41,0.00,385.09,-16.0004,,911152
304,293.34,842,0.0680,788.57,799.77,0.0,0.42,0.00,306.15,-12.8105,,914520
305,195.84,563,0.0680,768.37,776.67,0.0,0.43,0.00,204.32,-8.4817,,916772
306,239.32,683,0.0680,751.52,760.95,0.0,0.40,0.00,249.70,-10.3849,,919504
307,17.44,50,0.0680,742.61,742.98,0.0,0.21,0.00,18.18,-0.7451,,919704
308,66.31,189,0.0680,739.96,742.26,0.0,0.37,0.00,69.18,-2.8698,,920460
309,330.10,949,0.0680,726.15,737.68,0.0,0.39,0.00,344.56,-14.4608,,924256
310,178.91,516,0.0680,707.75,713.47,0.0,0.36,0.00,186.70,-7.7872,truncated,926320
311,4726.30,1018,1.0000,2.30,7.51,93.6,18.53,1590.14,457.65,-16.4838,completed,930392
312,885.68,276,0.1680,3.34,7.36,73.6,19.47,346.40,127.15,-2.8763,,931496
313,300.24,69,0.2320,2.20,5.12,98.6,19.74,109.23,31.56,-0.5410,,931772
314,3920.33,946,1.0000,2.67,10.30,88.4,18.06,1382.39,436.11,-18.1657,completed,935556
315,1670.15,406,0.3600,2.59,6.60,86.9,19.09,597.56,181.50,-3.9080,,937180
316,3170.30,681,1.0000,2.27,5.79,97.4,19.17,1069.57,309.98,-9.2623,completed,939904
317,1812.43,315,0.4580,1.58,4.72,100.0,16.46,556.46,128.66,-12.6861,,941164
318,1290.28,292,0.7360,2.18,5.41,99.7,19.31,464.85,133.42,-2.9936,,942332
319,1071.08,1081,0.8320,18.03,41.43,29.5,3.30,538.37,299.69,-6.9862,,946656
320,573.96,400,0.8620,6.01,32.60,69.2,4.65,408.36,99.62,-9.0195,,948256
321,936.71,224,1.0000,3.18,6.50,81.2,19.23,290.73,105.06,-4.0769,completed,949152
322,1520.76,405,0.3040,2.70,6.45,89.9,19.53,582.67,187.19,-4.1002,,950772
323,255.78,51,0.3620,1.71,3.57,100.0,18.42,88.67,22.75,-0.6406,,950976
324,2886.94,1361,0.8320,4.76,15.98,59.7,7.38,1324.98,402.85,-15.8947,,956420
325,3413.37,3959,0.8580,6.40,17.67,39.7,1.23,2425.54,967.29,-44.4453,,972256
326,349.56,224,0.8600,3.21,9.62,92.4,1.17,297.36,49.87,-2.6731,truncated,973152
327,1488.64,405,0.3020,2.93,7.38,84.4,19.20,558.26,184.32,-3.9421,,974772
328,3226.37,615,1.0000,1.99,6.57,98.9,18.02,1021.31,269.17,-9.1137,completed,977232
329,3186.44,754,0.6820,2.43,6.82,93.1,18.89,1151.28,342.28,-7.1248,,980248
330,1665.23,319,1.0000,1.99,4.84,100.0,18.69,528.31,146.82,-4.9097,completed,981524
331,2966.48,669,0.6480,2.30,7.58,96.6,18.87,1051.14,307.47,-7.1305,,984200
332,932.02,273,0.8260,3.05,7.20,82.4,19.28,365.60,123.89,-2.4686,,985292
333,1049.63,216,1.0000,2.63,6.04,91.2,19.21,316.41,100.59,-2.3658,completed,986156
334,3537.20,776,0.7780,2.12,5.63,98.1,18.74,1253.68,350.96,-7.4443,,989260
335,494.42,132,0.8780,2.81,6.40,85.6,19.47,186.27,59.09,-0.9413,,989788
336,228.72,62,0.9220,2.55,5.16,98.4,19.56,91.46,27.81,-0.5525,,990036
337,608.01,119,1.0000,3.02,6.41,81.5,18.99,159.98,55.69,-2.6605,completed,990512
338,3315.10,838,0.7120,2.88,7.90,81.7,18.29,1173.55,375.83,-9.2849,,993864
339,561.83,167,0.8180,3.13,7.47,80.8,19.52,219.63,78.65,-1.4521,,994532
340,1050.50,191,1.0000,2.10,5.51,98.4,18.65,309.71,88.21,-2.4234,completed,995296
341,3931.57,895,0.8540,2.26,6.43,96.4,18.96,1406.31,403.20,-7.9407,,998876
342,967.39,219,1.0000,2.89,6.04,87.2,19.23,302.16,103.00,-2.7666,completed,999752
